Molecule,TH2,TH4,TH5,TH7,TH1,TH3,TH6,TH8
SM 20:1,750649.4882,794736.3741,524863.4166,578395.9445,755945.3634,783733.983,770970.5357,646418.5408
SM 22:0,12333116.98,16058544.88,13865682.6,13017446.46,13172584.83,17234599.06,13574552.26,13460525.86
SM 22:1,4698433.39,5065031.347,4244601.396,3376947.318,4883381.365,6117663.649,4808677.088,3687005.027
SM 24:0,793977.4244,1524307.01,2162944.018,1442290.185,445051.3296,897244.5315,1002152.992,1630356.986
SM 24:1,1655538.818,2282682.802,3062987.901,2395788.898,1133714.642,1996144.077,2280423.324,3128725.103
SM 26:0,582105.3756,846169.2383,764053.8232,533333.0489,547792.0962,630902.936,469639.185,617600.5799
SM 26:1,1035.346775,1484.416763,2890.487268,1196.444384,837.0209398,1347.118696,1855.652983,2292.806981
CE 24:0,344.0379566,910.2692608,449.9874101,806.6585459,345.1598623,563.7223971,305.0321218,1074.798831
CE 22:6,3953.015264,2472.799023,2308.048236,2465.321316,2726.648492,5101.674682,3556.209011,8433.274542
CE 20:0,20351.43731,6640.698217,6862.136922,6252.558843,8083.046107,26613.39539,6323.428847,25312.9072
CE 20:1,6664.617403,3679.458118,3242.182788,2980.483154,2297.669759,4486.206586,2823.236643,9336.504649
CE 22:5,4484.419109,2119.058911,3308.012294,2781.255121,2086.417987,3958.817774,2109.209827,7529.639313
CE 14:0,4993.890649,3181.008932,2610.526076,3282.17911,1873.920309,2466.304511,2825.641836,5592.143619
CE 16:0,5766.243105,2273.463858,4579.52431,3014.628942,2447.047603,7267.062714,3730.594652,9778.04613
CE 16:1,11176.27773,7544.251447,7003.464438,5338.406171,5487.630812,14165.21973,6784.350052,18904.26421
CE 18:0,16680.62166,5771.300341,6608.727226,5663.312493,6407.922556,15261.91638,5700.177393,21436.90821
CE 18:1,18141.22969,11833.7563,13890.54629,9981.695103,8742.525642,13107.94785,10471.04308,36819.93561
CE 18:2,10167.64942,7584.508297,8682.212951,4811.430501,4678.485974,11509.84281,6209.492652,19704.37238
CE 18:3,2547.982405,1449.692936,2734.421575,1729.213028,1449.572321,6147.767613,1003.412021,7973.473434
CE 20:2,4139.80509,4027.132221,5139.567049,2744.045347,2462.184997,5204.372681,2865.559836,11593.10972
CE 20:3,3549.208385,2290.06535,2471.325512,2145.7159,1304.45433,3234.085215,2302.674512,5761.943687
CE 20:4,2332.830179,2520.789278,2842.482012,2787.52687,1811.164554,3615.19727,1965.90645,6939.316107
CE 20:5,5026.890371,2375.548872,2245.589,1711.86029,1894.308527,4761.355269,1828.964779,6442.359302
CE 22:2,2014.914817,476.5974354,1322.498749,841.3495837,908.3647467,600.7145208,280.4270604,3281.136977
CE 22:4,3393.857465,1502.471165,1432.361887,2038.450153,1598.445235,2963.685248,1448.149483,4442.170382
CE 24:1,2346.261261,759.4383191,1335.206934,2260.682994,317.0005286,3484.570536,2429.706099,3010.362312
CER 14:0,13730.35812,13865.87313,8309.518736,13974.67245,3826.149593,7727.744574,9459.327967,15020.39417
CER 16:0,908617.2478,1465572.087,982801.2405,1375390.41,344723.1819,476478.2463,586332.8106,1372818.371
CER 18:0,285086.8116,426672.9723,202848.8599,483333.5921,108027.3367,133586.7729,194397.991,442316.8763
CER 18:1,67293.60847,87342.58392,78749.23717,90749.42744,25564.44486,33429.50729,50300.90305,154795.3274
CER 20:0,222491.9411,595889.2883,312069.7304,428188.1898,122263.815,223396.6167,249021.0626,464334.6352
CER 20:1,80564.42357,142093.8987,113731.7247,141620.6292,48108.1871,82706.12849,79697.98207,216973.8056
CER 22:0,978346.9919,2615634.319,1559631.478,2401211.839,560713.2413,1197448.225,1123744.894,2215896.074
CER 22:1,731941.7484,1165148.837,1170725.589,1255974.455,316268.6567,498338.5226,580224.3868,1737130.481
CER 24:0,537870.488,1445517.146,963426.4119,1178219.457,207428.2169,372898.9553,459500.2276,1049950.186
CER 24:1,1305375.76,2932876.998,2094885.832,2818746.458,601818.6724,957180.3488,1141792.236,2691653.666
CER 26:0,25618.15448,48005.3612,49477.15654,45661.97691,9656.601313,29927.34539,28440.92751,117267.3605
CER 26:1,14751.64127,45164.13183,27995.79718,46462.85721,7986.894055,11631.6019,19528.19811,70084.78389
DCER 16:0,212224.1142,236640.8255,240273.4947,299590.0147,93848.17004,145881.8047,161823.9457,449904.2274
DCER 18:0,156661.6833,251511.6257,159398.7913,248437.8977,42980.27206,79488.54677,87639.49983,257183.2264
DCER 18:1,38142.22347,37624.04854,54093.02702,37059.87702,19385.31919,21876.37843,24704.45875,62439.30279
DCER 20:0,130993.6078,184085.4449,123775.3093,121163.7744,32146.01468,78132.77872,78997.22586,251855.2849
DCER 20:1,21920.1014,23702.21906,20568.53833,20887.26849,9083.770987,16624.10489,12958.88163,29314.07274
DCER 22:0,71991.09318,129058.9773,148592.9657,126471.6833,40549.67485,123820.9562,105344.6258,253109.8558
DCER 22:1,221257.8299,356925.4808,389373.4413,404987.1111,105355.6716,154554.8614,151225.6946,497729.0574
DCER 24:0,41360.34715,83225.11727,48202.76731,82993.61398,15276.64836,38082.06714,33287.18127,122131.1343
